Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1266523,-,-,-,40.81,-73.3,-5,47,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2014,1,1,0,30,0,0,0,4,-11,160.86,0.12347999960184097,4,0.534,295,64.18,-2,10.200000000000001
2014,1,1,1,30,0,0,0,4,-8,153.51,0.12347999960184097,3,0.5760000000000001,295,68.82000000000001,-3,10.200000000000001
2014,1,1,2,30,0,0,0,1,-8,143.3,0.12347999960184097,3,0.614,294,69.15,-3,10.200000000000001
2014,1,1,3,30,0,0,0,4,-7,132.17000000000002,0.12347999960184097,3,0.645,291,69.94,-3,10.200000000000001
2014,1,1,4,30,0,0,0,1,-7,120.83,0.12347999960184097,3,0.673,285,70.59,-3,10.200000000000001
2014,1,1,5,30,0,0,0,4,-6,109.65,0.12347999960184097,3,0.6970000000000001,278,71.4,-3,10.200000000000001
2014,1,1,6,30,0,0,0,4,-6,98.88,0.12347999960184097,2,0.713,273,72.18,-3,10.200000000000001
2014,1,1,7,30,4,0,4,4,-8,88.81,0.12347999960184097,2,0.727,270,67.69,-2,10.200000000000001
2014,1,1,8,30,63,196,98,8,-12,79.81,0.12347999960184097,2,0.754,271,62.85,-1,10.200000000000001
2014,1,1,9,30,109,325,208,4,-14,72.32000000000001,0.12347999960184097,2,0.796,272,58.79,0,10.200000000000001
2014,1,1,10,30,155,292,270,4,-13,66.89,0.12347999960184097,2,0.842,273,59.81,0,10.200000000000001
2014,1,1,11,30,167,365,326,4,-12,64.08,0.12347999960184097,2,0.877,272,61.6,0,10.200000000000001
2014,1,1,12,30,189,178,267,8,-10,64.23,0.12347999960184097,3,0.899,272,64.0,0,10.200000000000001
2014,1,1,13,30,164,125,213,4,-8,67.34,0.12347999960184097,2,0.91,273,66.16,0,10.200000000000001
2014,1,1,14,30,110,264,187,4,-6,73.0,0.12347999960184097,2,0.91,276,67.81,0,10.200000000000001
2014,1,1,15,30,62,153,87,8,-4,80.67,0.12347999960184097,1,0.906,281,70.44,0,10.200000000000001
2014,1,1,16,30,0,0,0,4,-5,89.8,0.12347999960184097,1,0.909,293,69.71000000000001,0,10.200000000000001
2014,1,1,17,30,0,0,0,7,-6,99.96000000000001,0.12347999960184097,1,0.927,316,68.3,0,10.200000000000001
2014,1,1,18,30,0,0,0,8,-6,110.78,0.12347999960184097,1,0.96,347,68.49,0,10.200000000000001
2014,1,1,19,30,0,0,0,8,-5,121.99000000000001,0.8669000267982483,1,1.004,198,69.94,0,10.200000000000001
2014,1,1,20,30,0,0,0,4,-3,133.32,0.8669000267982483,1,1.055,215,72.33,0,10.200000000000001
2014,1,1,21,30,0,0,0,4,-1,144.39000000000001,0.8669000267982483,1,1.103,225,74.73,0,10.200000000000001
2014,1,1,22,30,0,0,0,4,1,154.42000000000002,0.8669000267982483,2,1.133,233,77.08,0,10.200000000000001
2014,1,1,23,30,0,0,0,4,3,161.22,0.8669000267982483,2,1.141,237,79.59,0,10.100000000000001
2014,1,2,0,30,0,0,0,4,5,160.81,0.8669000267982483,2,1.1340000000000001,237,82.35000000000001,0,10.100000000000001
2014,1,2,1,30,0,0,0,4,7,153.52,0.8669000267982483,3,1.1340000000000001,235,84.86,0,10.100000000000001
2014,1,2,2,30,0,0,0,4,8,143.34,0.8669000267982483,3,1.141,233,87.14,0,10.100000000000001
2014,1,2,3,30,0,0,0,4,10,132.21,0.8669000267982483,3,1.1420000000000001,232,89.05,0,10.100000000000001
2014,1,2,4,30,0,0,0,4,10,120.87,0.8669000267982483,4,1.129,230,90.22,0,10.100000000000001
2014,1,2,5,30,0,0,0,7,11,109.68,0.8669000267982483,4,1.11,229,90.48,0,10.100000000000001
2014,1,2,6,30,0,0,0,6,10,98.9,0.8669000267982483,4,1.088,226,89.83,0,10.100000000000001
2014,1,2,7,30,3,0,3,7,9,88.83,0.8669000267982483,5,1.059,226,88.74,0,10.100000000000001
2014,1,2,8,30,65,48,74,7,9,79.81,0.8669000267982483,5,1.016,226,88.08,0,10.100000000000001
2014,1,2,9,30,123,76,146,7,9,72.29,0.8669000267982483,5,0.984,226,87.63,0,10.100000000000001
