Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1266523,-,-,-,40.81,-73.3,-5,47,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2013,1,1,0,30,0,0,0,7,13,160.85,0.1263200044631958,4,1.2570000000000001,259,91.44,2,10.0
2013,1,1,1,30,0,0,0,6,13,153.52,0.1263200044631958,4,1.193,263,91.48,2,10.0
2013,1,1,2,30,0,0,0,7,16,143.31,0.1263200044631958,4,1.1400000000000001,267,97.63,1,10.0
2013,1,1,3,30,0,0,0,7,15,132.18,0.1263200044631958,4,1.091,268,96.54,1,10.0
2013,1,1,4,30,0,0,0,4,15,120.85000000000001,0.1263200044631958,4,1.05,268,95.38,1,10.0
2013,1,1,5,30,0,0,0,7,14,109.66,0.1263200044631958,4,1.024,271,94.60000000000001,1,10.0
2013,1,1,6,30,0,0,0,4,14,98.89,0.1263200044631958,4,1.012,273,94.17,1,10.0
2013,1,1,7,30,3,0,3,7,14,88.82000000000001,0.1263200044631958,3,1.018,276,93.95,1,10.0
2013,1,1,8,30,43,0,43,6,11,79.81,0.1263200044631958,3,1.022,280,88.62,2,10.0
2013,1,1,9,30,80,0,80,6,8,72.31,0.1263200044631958,4,1.008,288,82.86,3,10.0
2013,1,1,10,30,145,13,150,6,6,66.88,0.1263200044631958,4,0.986,293,79.74,3,10.0
2013,1,1,11,30,88,0,88,6,4,64.06,0.1263200044631958,4,0.966,295,77.22,3,10.0
2013,1,1,12,30,68,0,68,6,2,64.21000000000001,0.1263200044631958,4,0.97,296,74.82000000000001,3,10.0
2013,1,1,13,30,107,0,107,6,5,67.31,0.1263200044631958,4,0.98,295,79.39,2,10.0
2013,1,1,14,30,116,52,131,7,4,72.97,0.1263200044631958,4,0.9570000000000001,298,78.41,2,10.0
2013,1,1,15,30,63,126,83,7,6,80.64,0.1263200044631958,4,0.891,306,82.60000000000001,1,10.0
2013,1,1,16,30,0,0,0,7,7,89.77,0.1263200044631958,4,0.782,313,85.79,0,10.0
2013,1,1,17,30,0,0,0,6,4,99.92,0.1263200044631958,4,0.663,320,81.47,0,10.0
2013,1,1,18,30,0,0,0,7,1,110.74000000000001,0.1263200044631958,4,0.56,323,77.0,0,10.0
2013,1,1,19,30,0,0,0,7,-2,121.96000000000001,0.1263200044631958,4,0.47300000000000003,324,73.13,0,10.0
2013,1,1,20,30,0,0,0,7,-2,133.29,0.1263200044631958,4,0.396,325,74.89,-1,10.100000000000001
2013,1,1,21,30,0,0,0,7,-4,144.36,0.1263200044631958,4,0.343,326,71.3,-1,10.100000000000001
2013,1,1,22,30,0,0,0,7,-4,154.38,0.1263200044631958,4,0.317,325,73.09,-2,10.100000000000001
2013,1,1,23,30,0,0,0,6,-3,161.19,0.1263200044631958,3,0.308,325,75.44,-3,10.100000000000001
2013,1,2,0,30,0,0,0,7,-5,160.8,0.1263200044631958,3,0.311,328,72.96000000000001,-3,10.100000000000001
2013,1,2,1,30,0,0,0,6,-3,153.52,0.1263200044631958,3,0.32,334,76.8,-4,10.100000000000001
2013,1,2,2,30,0,0,0,6,-4,143.34,0.1263200044631958,3,0.332,336,75.47,-4,10.100000000000001
2013,1,2,3,30,0,0,0,6,-5,132.22,0.1263200044631958,3,0.34600000000000003,336,74.42,-4,10.100000000000001
2013,1,2,4,30,0,0,0,7,-6,120.88,0.1263200044631958,2,0.361,333,73.49,-4,10.100000000000001
2013,1,2,5,30,0,0,0,6,-2,109.69,0.1263200044631958,2,0.374,329,78.8,-5,10.100000000000001
2013,1,2,6,30,0,0,0,7,-2,98.91,0.1263200044631958,2,0.383,324,78.8,-5,10.100000000000001
2013,1,2,7,30,8,0,8,7,-6,88.83,0.1263200044631958,3,0.388,314,73.4,-4,10.100000000000001
2013,1,2,8,30,64,181,96,7,-8,79.8,0.1263200044631958,3,0.39,305,69.56,-3,10.100000000000001
2013,1,2,9,30,106,351,213,7,-9,72.29,0.1263200044631958,3,0.392,298,66.43,-2,10.100000000000001
2013,1,2,10,30,137,415,301,7,-11,66.83,0.1263200044631958,3,0.405,295,64.09,-1,10.100000000000001
